species_name_dutch	species_latin_name	species_name_english
Roodmus	Carpodacus erythrinus	Common Rosefinch
Haakbek	Pinicola enucleator	Pine Grosbeak
Goudvink	Pyrrhula pyrrhula	Eurasian Bullfinch
Woestijnvink	Bucanetes githagineus	Trumpeter Finch
Frater	Linaria flavirostris	Twite
Kleine Barmsijs	Acanthis cabaret	Lesser Redpoll
Grote Barmsijs	Acanthis flammea	Mealy Redpoll
Witstuitbarmsijs **	Acanthis hornemanni exilipes	Coues's Redpoll
Witbandkruisbek	Loxia leucoptera	Two-barred Crossbill
Kruisbek	Loxia curvirostra	Red Crossbill
Grote Kruisbek	Loxia pytyopsittacus	Parrot Crossbill
Europese Kanarie	Serinus serinus	European Serin
Sneeuwgors	Plectrophenax nivalis	Snow Bunting
IJsgors	Calcarius lapponicus	Lapland Longspur
Indigogors	Passerina cyanea	Indigo Bunting
Zanggors	Melospiza melodia	Song Sparrow
Witkeelgors	Zonotrichia albicollis	White-throated Sparrow
Grijze Junco	Junco hyemalis	Dark-eyed Junco
Bruinkopgors	Emberiza bruniceps	Red-headed Bunting
Zwartkopgors	Emberiza melanocephala	Black-headed Bunting
Grauwe Gors	Emberiza calandra	Corn Bunting
Grijze Gors	Emberiza cia	Rock Bunting
Steenortolaan	Emberiza buchanani	Grey-necked Bunting
Bruinkeelortolaan	Emberiza caesia	Cretzschmar’s Bunting
Ortolaan	Emberiza hortulana	Ortolan Bunting
Cirlgors	Emberiza cirlus	Cirl Bunting
Geelgors	Emberiza citrinella	Yellowhammer
Witkopgors	Emberiza leucocephalos	Pine Bunting
Wilgengors	Emberiza aureola	Yellow-breasted Bunting
Rosse Gors	Emberiza rutila	Chestnut Bunting
Geelbrauwgors	Emberiza chrysophrys	Yellow-browed Bunting
Dwerggors	Emberiza pusilla	Little Bunting
Bosgors	Emberiza rustica	Rustic Bunting
Maskergors	Emberiza spodocephala	Black-faced Bunting
Glanstroepiaal	Quiscalus quiscula	Common Grackle
Geelkoptroepiaal	Xanthocephalus xanthocephalus	Yellow-headed Blackbird
Baltimoretroepiaal	Icterus galbula	Baltimore Oriole
Noordse Waterlijster	Parkesia noveboracensis	Northern Waterthrush
Mirtezanger	Setophaga coronata	Myrtle Warbler
Fazant	Phasianus colchicus	Common Pheasant
Mandarijneend	Aix galericulata	Mandarin Duck
Chileense Flamingo	Phoenicopterus chilensis	Chilean Flamingo
Rotsduif	Columba livia	Rock Dove
Witsterblauwborst	Luscinia svecica cyanecula	White-spotted bluethroat
Witte of Rouwkwikstaart	Motacilla alba	White or Pied Wagtail
Treurmaina	Acridotheres tristis	Common myna
Soepeend	Anas platyrhynchos domesticus	Feral Mallard
